,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-09 17:36:28.000,2025-10-02 18:06:49,371.0,22.0,192.0,56.0,218.0,4.0,2618.0,2025-09-28 18:52:23.000,2025.09.25,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-10-09 22:16:23.000,2025-10-09 22:16:22,416.0,18.0,110.0,15.0,326.0,35.0,1546.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,2.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-10-16 12:36:16.000,2025-10-16 12:36:16,12945.0,236.0,3009.0,238.0,8424.0,8848.0,19900.0,2025-09-19 00:09:39.000,1.18.2,131.0,816.0,3013.0,49,True,,mypy,conda-forge/mypy,356684.0,326396.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,74785477.0,74880752.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,6097612.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-10-14 16:05:15.000,2025-10-14 15:31:51,16862.0,145.0,2885.0,192.0,6556.0,5307.0,13169.0,2025-09-04 14:35:52.000,8.4.2,186.0,1059.0,941.0,49,True,,pytest,conda-forge/pytest,1757454.0,1668844.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,253524739.0,254206555.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,40888467.0,1.0,['pytest'],25326.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-10-15 16:14:15.000,2025-10-15 16:04:10,6333.0,92.0,1432.0,229.0,798.0,1522.0,10858.0,2025-09-17 20:14:56.000,7.1.0,98.0,225.0,348.0,47,True,,psutil,conda-forge/psutil,772433.0,755232.0,https://pypi.org/project/psutil,2025-09-17 20:14:56.000,17201.0,218497604.0,219321892.0,https://anaconda.org/conda-forge/psutil,2025-09-18 04:31:25.649,51930156.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-10-14 02:53:52.000,2025-10-13 17:52:17,15463.0,132.0,3151.0,322.0,5924.0,6661.0,9972.0,2025-05-02 15:13:59.000,25.1.1,151.0,849.0,1082.0,47,True,,pip,conda-forge/pip,249396.0,243955.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5441.0,381404667.0,384115522.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,176205626.0,1.0,,,,,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-10-09 16:10:55.602,2025-10-09 15:33:24,4293.0,14.0,1903.0,530.0,1298.0,1229.0,54073.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,305.0,46,True,,rich,conda-forge/rich,504392.0,478769.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,226708275.0,226954487.0,https://anaconda.org/conda-forge/rich,2025-10-09 16:10:55.602,15511390.0,1.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-10-13 06:02:06.000,2025-10-10 14:19:23,2039.0,34.0,2633.0,232.0,1991.0,2418.0,41059.0,2025-09-19 00:27:35.000,25.9.0,66.0,478.0,357.0,45,True,,black,conda-forge/black,686327.0,645431.0,https://pypi.org/project/black,2025-09-19 00:27:35.000,40896.0,82678491.0,82951159.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,17073641.0,1.0,,131039.0,,,,,,,,,,,,,,,,,,
