,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-18 01:19:13.000,2025-10-18 01:19:12,373.0,22.0,192.0,56.0,219.0,4.0,2624.0,2025-10-18 01:19:22.000,2025.10.16,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-10-16 18:56:13.000,2025-10-16 18:56:12,417.0,18.0,110.0,15.0,327.0,35.0,1554.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,2.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-10-21 10:43:44.000,2025-10-20 22:27:56,12953.0,240.0,3009.0,235.0,8443.0,8859.0,19926.0,2025-09-19 00:09:39.000,1.18.2,131.0,816.0,3013.0,49,True,,mypy,conda-forge/mypy,357914.0,327626.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,76738869.0,76834681.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,6132026.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-10-22 12:29:44.000,2025-10-22 12:29:44,16871.0,153.0,2904.0,192.0,6571.0,5312.0,13206.0,2025-09-04 14:35:52.000,8.4.2,186.0,1060.0,948.0,49,True,,pytest,conda-forge/pytest,1760162.0,1671552.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,255999425.0,256684913.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,41108489.0,1.0,['pytest'],25726.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-10-23 11:30:58.000,2025-10-23 11:30:39,6356.0,115.0,1434.0,226.0,804.0,1525.0,10869.0,2025-10-19 15:44:03.000,7.1.1,99.0,225.0,352.0,47,True,,psutil,conda-forge/psutil,773679.0,756241.0,https://pypi.org/project/psutil,2025-10-19 15:44:03.000,17438.0,218966830.0,219795960.0,https://anaconda.org/conda-forge/psutil,2025-10-19 17:25:11.172,52235221.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-10-21 21:11:49.000,2025-10-21 21:11:49,15532.0,189.0,3152.0,317.0,5926.0,6668.0,9978.0,2025-05-02 15:13:59.000,25.1.1,151.0,849.0,1075.0,47,True,,pip,conda-forge/pip,249620.0,244172.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5448.0,379839261.0,382570179.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,177509691.0,1.0,,,,,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-10-09 16:10:55.602,2025-10-09 15:33:24,4293.0,10.0,1903.0,530.0,1302.0,1229.0,54154.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,305.0,46,True,,rich,conda-forge/rich,505461.0,479838.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,239334000.0,239582300.0,https://anaconda.org/conda-forge/rich,2025-10-09 16:10:55.602,15642953.0,1.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-10-22 18:17:56.000,2025-10-22 18:17:54,2052.0,45.0,2640.0,230.0,1998.0,2424.0,41080.0,2025-09-19 00:27:35.000,25.9.0,66.0,480.0,354.0,46,True,,black,conda-forge/black,687555.0,646659.0,https://pypi.org/project/black,2025-09-19 00:27:35.000,40896.0,82914060.0,83187511.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,17122591.0,1.0,,131488.0,,,,,,,,,,,,,,,,,,
10,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-10-22 19:26:18.000,2025-10-22 19:26:18,9854.0,93.0,2004.0,221.0,2625.0,5299.0,12679.0,2025-09-13 20:08:08.000,6.16.0,76.0,484.0,284.0,44,True,,pyinstaller,conda-forge/pyinstaller,86312.0,84942.0,https://pypi.org/project/pyinstaller,2025-09-13 20:05:59.000,1370.0,4786171.0,4816030.0,https://anaconda.org/conda-forge/pyinstaller,2025-09-18 11:56:25.637,1406423.0,1.0,,751894.0,,,,,,,,,,,,,,,,,,
11,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-10-21 01:46:34.000,2025-10-21 01:46:32,9840.0,175.0,1191.0,75.0,4824.0,4840.0,5583.0,2025-10-20 13:02:32.000,4.0.2,208.0,618.0,1013.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,493744.0,482411.0,https://pypi.org/project/pylint,2025-10-20 13:02:32.000,11333.0,34207822.0,34315000.0,https://anaconda.org/conda-forge/pylint,2025-10-20 15:12:37.362,6859031.0,1.0,,370.0,,,,,,,,,,,,,,,,,,
12,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2025-10-20 20:39:54.000,2025-10-16 23:05:17,1022.0,71.0,1065.0,163.0,1554.0,1369.0,4984.0,2025-10-10 21:24:48.000,20.35.3,245.0,295.0,21.0,44,True,,virtualenv,conda-forge/virtualenv,490603.0,488624.0,https://pypi.org/project/virtualenv,2025-10-10 21:23:30.000,1979.0,249248539.0,249532286.0,https://anaconda.org/conda-forge/virtualenv,2025-10-10 22:11:08.173,17024859.0,1.0,,,,,,,,,,,,,,,,,,,,
13,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-10-20 16:54:05.000,2025-10-20 16:54:05,16481.0,3.0,1315.0,94.0,1949.0,2147.0,2765.0,2025-05-27 00:56:55.000,80.9.0,624.0,632.0,669.0,44,True,,setuptools,conda-forge/setuptools,851108.0,821328.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,29780.0,762762515.0,765330968.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,166949474.0,1.0,,,,,,,,,,,,,,,,,,,,
14,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-10-20 14:53:51.000,2025-10-20 14:53:51,9198.0,2.0,1878.0,353.0,2017.0,4090.0,25100.0,2025-07-07 21:45:44.000,2025.0.4,401.0,532.0,239.0,43,True,,pipenv,conda-forge/pipenv,174294.0,174043.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,251.0,24164830.0,24169338.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,293041.0,2.0,,,,,,,,,,,,,,,,,,,,
