,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-01-15 17:16:08.000,2026-01-15 17:16:06,397.0,22.0,194.0,55.0,232.0,4.0,2679.0,2026-01-15 17:16:14.000,2026.01.15,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-01-15 18:41:47.000,2025-11-06 18:40:58,419.0,1.0,113.0,16.0,344.0,37.0,1661.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-01-19 23:07:09.000,2026-01-19 23:07:07,17128.0,251.0,3000.0,195.0,6784.0,5374.0,13479.0,2025-12-06 21:31:16.000,9.0.2,189.0,1081.0,980.0,50,True,,pytest,conda-forge/pytest,['pytest'],27819.0,406170737.0,1829050.0,1709817.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,405476510.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,43713609.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-01-22 13:30:26.000,2026-01-22 13:30:24,13188.0,233.0,3062.0,233.0,8746.0,9075.0,20142.0,2025-12-15 05:02:33.000,1.19.1,133.0,833.0,3109.0,49,True,,mypy,conda-forge/mypy,,,73867675.0,381838.0,342741.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,73769168.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6600000.0,1.0,,,,,,,,,,,,,,,,,,
6,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-01-22 14:21:08.000,2026-01-22 13:21:43,13746.0,1172.0,1700.0,93.0,14440.0,6035.0,45295.0,2026-01-15 20:16:11.000,0.14.13,391.0,785.0,1642.0,47,True,astral-sh/ruff,ruff,conda-forge/ruff,,3631276.0,99414302.0,176113.0,144340.0,https://pypi.org/project/ruff,2026-01-15 20:14:50.000,31773.0,99101916.0,https://anaconda.org/conda-forge/ruff,2026-01-16 20:11:19.341,5598493.0,1.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-01-22 02:50:29.000,2026-01-22 02:50:28,6476.0,111.0,1459.0,225.0,833.0,1544.0,11038.0,2025-12-29 08:26:04.000,7.2.1,103.0,228.0,356.0,47,True,,psutil,conda-forge/psutil,,,228416564.0,785882.0,766968.0,https://pypi.org/project/psutil,2025-12-29 08:26:04.000,18914.0,227570189.0,https://anaconda.org/conda-forge/psutil,2025-12-29 12:53:20.911,55860761.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-01-21 12:24:18.322,2026-01-20 03:10:32,2117.0,65.0,2707.0,233.0,2108.0,2466.0,41318.0,2026-01-18 04:50:09.000,26.1.0,70.0,495.0,332.0,46,True,,black,conda-forge/black,,138870.0,79514236.0,713099.0,661297.0,https://pypi.org/project/black,2026-01-18 04:50:09.000,51802.0,79244230.0,https://anaconda.org/conda-forge/black,2026-01-21 12:24:18.322,17708659.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-01-21 23:18:53.000,2026-01-21 23:18:53,15703.0,122.0,3170.0,317.0,6009.0,6727.0,10072.0,2025-05-02 15:13:59.000,25.1.1,153.0,869.0,1033.0,46,True,,pip,conda-forge/pip,,,380044769.0,252271.0,246805.0,https://pypi.org/project/pip,2025-10-25 00:55:39.000,5466.0,377201938.0,https://anaconda.org/conda-forge/pip,2025-11-10 12:14:15.799,193312532.0,1.0,,,,,,,,,,,,,,,,,,
10,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-01-17 17:42:28.000,2026-01-17 17:42:27,9281.0,83.0,1874.0,354.0,2072.0,4182.0,25108.0,2025-12-17 01:55:45.000,2026.0.3,407.0,532.0,153.0,45,True,,pipenv,conda-forge/pipenv,,,14945864.0,174429.0,174175.0,https://pypi.org/project/pipenv,2025-12-17 01:55:45.000,254.0,14941303.0,https://anaconda.org/conda-forge/pipenv,2025-12-17 03:59:49.753,310199.0,1.0,,,,,,,,,,,,,,,,,,
11,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-01-21 12:27:34.537,2026-01-21 11:34:27,16516.0,35.0,1357.0,96.0,1971.0,2166.0,2799.0,2026-01-21 09:42:06.000,80.10.1,626.0,635.0,669.0,45,True,,setuptools,conda-forge/setuptools,,,823432718.0,863597.0,832418.0,https://pypi.org/project/setuptools,2026-01-21 09:42:00.000,31179.0,820807798.0,https://anaconda.org/conda-forge/setuptools,2026-01-21 12:27:34.537,178494577.0,1.0,,,,,,,,,,,,,,,,,,
