,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-01-29 19:32:49.000000,2026-01-29 19:32:47,401.0,22.0,193.0,55.0,234.0,4.0,2691.0,2026-01-29 19:32:53.000,2026.01.29,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-01-29 18:49:57.000000,2025-11-06 18:40:58,419.0,,114.0,16.0,346.0,37.0,1670.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-02-03 19:47:39.000000,2026-02-03 19:47:36,17149.0,191.0,3011.0,196.0,6801.0,5376.0,13535.0,2025-12-06 21:31:16.000,9.0.2,189.0,1084.0,979.0,50,True,,pytest,conda-forge/pytest,['pytest'],27955.0,447689951.0,1837574.0,1718341.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,446999511.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,44165248.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-02-05 12:31:33.000000,2026-02-05 12:31:31,13253.0,259.0,3070.0,232.0,8834.0,9127.0,20177.0,2025-12-15 05:02:33.000,1.19.1,133.0,834.0,3109.0,49,True,,mypy,conda-forge/mypy,,,93291539.0,385521.0,346424.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,93193361.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6676131.0,1.0,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-02-05 06:08:27.516000,2026-02-05 01:44:28,15790.0,192.0,3227.0,316.0,6031.0,6743.0,10083.0,2026-02-05 02:20:16.000,26.0.1,155.0,869.0,1033.0,48,True,,pip,conda-forge/pip,,,465037628.0,253046.0,247321.0,https://pypi.org/project/pip,2026-02-05 02:20:16.000,5725.0,462200407.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,195768317.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-01 18:46:25.026000,2026-02-01 16:19:20,4394.0,98.0,2010.0,530.0,1352.0,1261.0,55357.0,2026-02-01 16:21:51.000,14.3.2,204.0,285.0,290.0,47,True,,rich,conda-forge/rich,,,282259616.0,531453.0,498314.0,https://pypi.org/project/rich,2026-02-01 16:20:46.000,33139.0,281999564.0,https://anaconda.org/conda-forge/rich,2026-02-01 18:46:25.026,17423496.0,1.0,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-01-29 09:23:17.173000,2026-01-28 20:46:28,6478.0,59.0,1459.0,225.0,833.0,1546.0,11068.0,2026-01-28 18:14:57.000,7.2.2,104.0,228.0,359.0,47,True,,psutil,conda-forge/psutil,,,259059703.0,789032.0,769410.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,258216428.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,56499488.0,1.0,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-01-31 16:09:46.000000,2026-01-31 16:09:44,2127.0,65.0,2707.0,233.0,2117.0,2473.0,41351.0,2026-01-18 04:50:09.000,26.1.0,70.0,497.0,332.0,46,True,,black,conda-forge/black,,140350.0,91312003.0,715718.0,663916.0,https://pypi.org/project/black,2026-01-18 04:50:09.000,51802.0,91044566.0,https://anaconda.org/conda-forge/black,2026-01-21 12:24:18.322,17805084.0,1.0,,,,,,,,,,,,,,,,,,
