,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-02-12 22:38:33.000000,2026-02-12 22:38:31,403.0,20.0,193.0,54.0,236.0,4.0,2692.0,2026-02-12 22:38:37.000,2026.02.12,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-02-12 19:08:50.000000,2025-11-06 18:40:58,419.0,,113.0,17.0,348.0,37.0,1686.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-02-19 12:32:20.000000,2026-02-17 17:37:46,13305.0,286.0,3097.0,232.0,8904.0,9163.0,20222.0,2025-12-15 05:02:33.000,1.19.1,133.0,837.0,3109.0,49,True,,mypy,conda-forge/mypy,389172.0,350075.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,99978345.0,100077995.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6776240.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-02-18 18:17:31.000000,2026-02-18 18:17:31,17170.0,119.0,3020.0,196.0,6840.0,5382.0,13641.0,2025-12-06 21:31:16.000,9.0.2,189.0,1090.0,986.0,49,True,,pytest,conda-forge/pytest,1846905.0,1727672.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,490729320.0,491429036.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,44758681.0,1.0,['pytest'],28251.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-19 14:02:27.000000,2026-02-11 22:11:26,4396.0,99.0,2019.0,530.0,1396.0,1262.0,55532.0,2026-02-01 16:21:51.000,14.3.2,204.0,285.0,290.0,47,True,,rich,conda-forge/rich,535519.0,502380.0,https://pypi.org/project/rich,2026-02-01 16:20:46.000,33139.0,314357723.0,314623257.0,https://anaconda.org/conda-forge/rich,2026-02-01 18:46:25.026,17790829.0,1.0,,,,,,,,,,,,,,,,,,,,
7,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-02-19 14:09:13.000000,2026-02-19 13:29:35,14183.0,1275.0,1770.0,96.0,14975.0,6104.0,45840.0,2026-02-13 04:56:49.000,0.15.1,394.0,810.0,1647.0,47,True,astral-sh/ruff,ruff,conda-forge/ruff,192010.0,154596.0,https://pypi.org/project/ruff,2026-02-12 23:08:55.000,37414.0,140480611.0,140821659.0,https://anaconda.org/conda-forge/ruff,2026-02-13 04:10:30.594,5869538.0,1.0,,4192056.0,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-02-12 17:46:23.000000,2026-02-12 17:46:23,6483.0,57.0,1462.0,225.0,839.0,1548.0,11085.0,2026-01-28 18:14:57.000,7.2.2,104.0,229.0,358.0,47,True,,psutil,conda-forge/psutil,791378.0,771756.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,263111468.0,263966765.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,57304907.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-02-13 13:05:53.000000,2026-02-13 13:05:53,15802.0,171.0,3231.0,316.0,6051.0,6748.0,10175.0,2026-02-05 02:20:16.000,26.0.1,155.0,870.0,1035.0,47,True,,pip,conda-forge/pip,253593.0,247868.0,https://pypi.org/project/pip,2026-02-05 02:20:16.000,5725.0,590140401.0,593025681.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,199084359.0,1.0,,,,,,,,,,,,,,,,,,,,
10,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-02-15 21:08:15.000000,2026-02-15 21:08:13,2130.0,53.0,2722.0,231.0,2129.0,2477.0,41387.0,2026-01-18 04:50:09.000,26.1.0,70.0,497.0,331.0,46,True,,black,conda-forge/black,718298.0,666496.0,https://pypi.org/project/black,2026-01-18 04:50:09.000,51802.0,94246711.0,94515901.0,https://anaconda.org/conda-forge/black,2026-01-21 12:24:18.322,17921633.0,1.0,,141413.0,,,,,,,,,,,,,,,,,,
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-02-16 10:57:06.000000,2026-02-08 11:44:59,9293.0,95.0,1874.0,354.0,2075.0,4183.0,25108.0,2025-12-17 01:55:45.000,2026.0.3,407.0,535.0,153.0,46,True,,pipenv,conda-forge/pipenv,174463.0,174209.0,https://pypi.org/project/pipenv,2025-12-17 01:55:45.000,254.0,25860059.0,25864621.0,https://anaconda.org/conda-forge/pipenv,2025-12-17 03:59:49.753,314821.0,1.0,,,,,,,,,,,,,,,,,,,,
12,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-02-12 00:03:48.000000,2026-02-12 00:03:48,16576.0,71.0,1363.0,97.0,1986.0,2211.0,2810.0,2026-02-08 15:08:43.000,82.0.0,630.0,638.0,635.0,46,True,,setuptools,conda-forge/setuptools,869191.0,837775.0,https://pypi.org/project/setuptools,2026-02-08 15:08:38.000,31416.0,1189343534.0,1192001221.0,https://anaconda.org/conda-forge/setuptools,2026-02-09 10:59:44.494,183380411.0,1.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-02-14 00:38:33.555798,2026-02-03 16:58:32,2036.0,17.0,1436.0,209.0,602.0,594.0,30964.0,2026-02-03 18:07:15.000,4.67.3,144.0,130.0,584.0,44,True,,tqdm,conda-forge/tqdm,1231477.0,1181032.0,https://pypi.org/project/tqdm,2026-02-03 17:35:50.000,50445.0,305859743.0,306534974.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,45899166.0,1.0,,20133.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-02-14 00:38:33.555798,3.0,5784.0,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-02-18 18:21:27.703000,2026-02-18 09:40:13,9922.0,59.0,2011.0,222.0,2666.0,5323.0,12884.0,2026-02-14 18:07:36.000,6.19.0,79.0,489.0,286.0,44,True,,pyinstaller,conda-forge/pyinstaller,88292.0,86604.0,https://pypi.org/project/pyinstaller,2026-02-14 18:05:22.000,1688.0,6295918.0,6327543.0,https://anaconda.org/conda-forge/pyinstaller,2026-02-18 18:21:27.703,1620901.0,1.0,,752904.0,,,,,,,,,,,,,,,,,,
15,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-02-15 22:46:21.000000,2025-12-31 15:07:44,22399.0,142.0,2375.0,166.0,6602.0,6178.0,7676.0,2025-12-31 15:09:25.000,9.1.0,241.0,907.0,1387.0,44,False,,sphinx,conda-forge/sphinx,512238.0,476181.0,https://pypi.org/project/sphinx,2025-12-31 15:09:25.000,36057.0,48859548.0,49056698.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,13603397.0,1.0,['sphinx'],,,,,,,2.0,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-02-16 22:11:25.000000,2026-02-16 22:11:23,9927.0,54.0,1213.0,74.0,4925.0,4885.0,5652.0,2025-11-30 13:29:02.000,4.0.4,210.0,628.0,1024.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,499238.0,487546.0,https://pypi.org/project/pylint,2025-11-30 13:29:02.000,11692.0,42637814.0,42747196.0,https://anaconda.org/conda-forge/pylint,2025-11-30 15:45:47.777,7437397.0,1.0,,567.0,,,,,,,,,,,,,,,,,,
