,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-06-12 09:27:00.000,2026-06-12 09:26:58,429.0,16.0,198.0,54.0,255.0,4.0,2726.0,2026-06-12 09:27:14.000,2026.06.11,100.0,17.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-06-11 20:26:42.000,2025-11-06 18:40:58,419.0,,121.0,18.0,376.0,37.0,1764.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,2.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-06-18 14:06:25.000,2026-06-18 14:06:24,17452.0,229.0,3170.0,197.0,7142.0,5482.0,14206.0,2026-06-13 18:53:04.000,9.1.0,191.0,1125.0,962.0,51,True,,pytest,conda-forge/pytest,['pytest'],31511.0,911672088.0,2004284.0,1815442.0,https://pypi.org/project/pytest,2026-06-13 18:52:44.000,188842.0,910939735.0,https://anaconda.org/conda-forge/pytest,2026-06-17 12:34:14.814,49773904.0,1.0,,,,,,,,,,,,,,,,
5,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-06-18 16:44:47.000,2026-06-18 16:44:35,15741.0,1146.0,2149.0,104.0,17307.0,6415.0,48042.0,2026-06-11 17:57:00.000,0.15.17,410.0,907.0,1666.0,48,True,astral-sh/ruff,ruff,conda-forge/ruff,,6425671.0,250258646.0,269501.0,200609.0,https://pypi.org/project/ruff,2026-06-11 17:54:49.000,68892.0,249813582.0,https://anaconda.org/conda-forge/ruff,2026-06-11 21:33:02.622,7124545.0,1.0,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-06-17 19:14:48.000,2026-06-17 19:14:48,16064.0,237.0,3278.0,315.0,6239.0,6812.0,10204.0,2026-05-31 17:33:56.000,26.1.2,158.0,887.0,1076.0,48,True,,pip,conda-forge/pip,,,658031236.0,258411.0,252327.0,https://pypi.org/project/pip,2026-05-31 17:33:56.000,6084.0,654972093.0,https://anaconda.org/conda-forge/pip,2026-05-31 21:27:26.742,223317445.0,1.0,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-06-15 13:38:25.000,2026-04-12 09:40:06,4458.0,44.0,2173.0,526.0,1499.0,1283.0,56645.0,2026-04-12 08:27:58.000,15.0.0,207.0,289.0,325.0,47,True,,rich,conda-forge/rich,,,592989144.0,585850.0,542082.0,https://pypi.org/project/rich,2026-04-12 08:24:02.000,43768.0,592692571.0,https://anaconda.org/conda-forge/rich,2026-04-12 11:02:00.080,21056742.0,1.0,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-06-18 08:52:22.000,2026-06-18 08:52:19,13672.0,273.0,3185.0,233.0,9447.0,9372.0,20481.0,2026-05-11 18:31:25.000,2.1.0,138.0,857.0,3140.0,47,False,,mypy,conda-forge/mypy,,,165043303.0,439707.0,377792.0,https://pypi.org/project/mypy,2026-05-11 18:31:25.000,61915.0,164937850.0,https://anaconda.org/conda-forge/mypy,2026-06-01 14:34:37.017,7592682.0,1.0,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-06-15 18:46:52.000,2026-06-15 18:46:49,6720.0,125.0,1484.0,223.0,911.0,1583.0,11195.0,2026-01-28 18:14:57.000,7.2.2,104.0,233.0,380.0,47,True,,psutil,conda-forge/psutil,,,357848893.0,812224.0,792602.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,356956426.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,63365220.0,1.0,,,,,,,,,,,,,,,,
