,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,17.0,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-09 17:36:28.000,192.0,3.0,2617.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,{},63.0,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,https://packaging.python.org/overview/,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,https://docs.python.org/3/library/unittest.html,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,1139.0,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-07-14 07:44:12.000,3235.0,986.0,14346.0,39,True,pytest,conda-forge/pytest,['pytest'],2035429.0,1843457.0,https://pypi.org/project/pytest,2026-06-19 10:58:31.000,2026-06-19 10:58:31.000,9.1.1,192.0,191972.0,1016754514.0,1017521429.0,https://anaconda.org/conda-forge/pytest,2026-06-22 11:24:21.473,52917168.0,1.0,-12.0,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,647.0,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-07-12 14:23:26.000,1410.0,673.0,2839.0,37,True,setuptools,conda-forge/setuptools,,899993.0,866318.0,https://pypi.org/project/setuptools,2026-07-04 15:31:20.000,2026-07-04 15:31:20.000,83.0.0,632.0,33675.0,1449005538.0,1451899521.0,https://anaconda.org/conda-forge/setuptools,2026-07-09 17:46:50.771,214154757.0,1.0,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,289.0,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-04-12 11:02:00.080,2156.0,325.0,56361.0,36,True,rich,conda-forge/rich,,597171.0,553403.0,https://pypi.org/project/rich,2026-04-12 08:24:02.000,2026-04-12 08:24:02.000,15.0.0,207.0,43768.0,587564398.0,587882391.0,https://anaconda.org/conda-forge/rich,2026-04-12 11:02:00.080,22895501.0,1.0,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,544.0,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-07-13 00:57:54.000,2807.0,291.0,41729.0,36,True,black,conda-forge/black,,751010.0,686540.0,https://pypi.org/project/black,2026-05-18 16:53:33.000,2026-05-18 16:53:33.000,26.5.1,74.0,64470.0,161656845.0,161922599.0,https://anaconda.org/conda-forge/black,2026-05-22 14:44:05.181,19134350.0,1.0,,,,,,,,,,,,,,,,
8,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,134.0,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-07-18 03:07:49.966,1469.0,603.0,31241.0,36,True,tqdm,conda-forge/tqdm,,1276895.0,1218750.0,https://pypi.org/project/tqdm,2026-07-17 18:09:04.000,2026-07-17 18:09:04.000,4.69.0,150.0,58145.0,605831961.0,606566769.0,https://anaconda.org/conda-forge/tqdm,2026-07-18 03:07:49.966,53636871.0,1.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-07-18 01:44:33.948113,3.0,7599.0,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,250.0,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-07-23 14:57:38.000,1498.0,368.0,11241.0,36,True,psutil,conda-forge/psutil,,818834.0,799212.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,2026-01-28 18:14:57.000,7.2.2,104.0,19622.0,372303635.0,373225697.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,66388530.0,1.0,,,,,,,,,,,,,,,,
10,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,900.0,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-06-24 03:33:11.000,3302.0,1042.0,10223.0,36,True,pip,conda-forge/pip,,259908.0,253824.0,https://pypi.org/project/pip,2026-05-31 17:33:56.000,2026-05-31 17:33:56.000,26.1.2,158.0,6084.0,584510462.0,587680536.0,https://anaconda.org/conda-forge/pip,2026-05-31 21:27:26.742,234585530.0,1.0,-12.0,,,,,,,,,,,,,,,
11,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,311.0,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-07-21 14:22:26.893,1102.0,,5039.0,36,True,virtualenv,conda-forge/virtualenv,,513635.0,511409.0,https://pypi.org/project/virtualenv,2026-07-21 13:12:12.000,2026-07-21 13:12:12.000,21.7.0,273.0,2226.0,502511306.0,502839102.0,https://anaconda.org/conda-forge/virtualenv,2026-07-21 14:22:26.893,22617954.0,1.0,,,,,,,,,,,,,,,,
12,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://docs.astral.sh/ruff,927.0,,MIT,2022-11-30 10:02:13.208,2026-07-16 22:09:00.160,2248.0,,48626.0,35,True,ruff,conda-forge/ruff,,293580.0,215014.0,https://pypi.org/project/ruff,2026-07-16 15:13:19.000,2026-07-16 15:13:19.000,0.15.22,415.0,78566.0,290587987.0,290764814.0,https://anaconda.org/conda-forge/ruff,2026-07-16 22:09:00.160,7780393.0,1.0,-13.0,,,,,,,,,,,,,,,
13,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,543.0,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-06-08 04:26:45.120,1881.0,22.0,25069.0,35,True,pipenv,conda-forge/pipenv,,174618.0,174361.0,https://pypi.org/project/pipenv,2026-06-08 02:12:38.000,2026-06-08 02:12:38.000,2026.6.2,418.0,257.0,26471165.0,26475934.0,https://anaconda.org/conda-forge/pipenv,2026-06-08 04:26:45.120,352925.0,2.0,,,,,,,,,,,,,,,,
14,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,861.0,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-07-14 02:19:09.405,3236.0,3166.0,20528.0,35,False,mypy,conda-forge/mypy,,458101.0,385910.0,https://pypi.org/project/mypy,2026-07-13 11:28:38.000,2026-07-13 11:28:38.000,2.3.0,140.0,72191.0,179863540.0,179972986.0,https://anaconda.org/conda-forge/mypy,2026-07-14 02:19:09.405,7989563.0,1.0,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,331.0,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-07-18 12:55:48.349,4109.0,1.0,27112.0,34,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],104100.0,90428.0,https://pypi.org/project/mkdocs-material,2026-07-17 16:21:30.000,2026-07-17 16:21:30.000,9.7.7,442.0,13672.0,17138871.0,17153432.0,https://anaconda.org/conda-forge/mkdocs-material,2026-07-18 12:55:48.349,1077537.0,1.0,,,,,,,,,,,,,,,,
